,molecule_chembl_id,IC50,units,smiles,pIC50,molecular_weight,n_hba,n_hbd,logp,ro5_fulfilled
858,CHEMBL1093313,18.0,nM,Nc1nc(Oc2ccccc2)nc2nc(-c3ccco3)nn12,7.744727494896693,294.08652356000005,8,1,2.1537999999999995,True
859,CHEMBL3908770,18.0,nM,Nc1nc(NCCc2ccc(O)cc2)nc2sc(-c3ccco3)nc12,7.744727494896693,353.09464572,8,3,3.2887000000000013,True
861,CHEMBL1170519,18.0,nM,CCN(C(C)=O)c1ccc(OC)c2nc(NC(=O)c3cc[nH]c3)sc12,7.744727494896693,358.109961436,5,2,3.2581000000000007,True
862,CHEMBL591999,18.0,nM,CCCCC#Cc1nc(N)c2ncn([C@@H]3C[C@H](NC(=O)CC)[C@@H](O)[C@H]3O)c2n1,7.744727494896693,386.20663869199996,8,4,0.5115999999999996,True
863,CHEMBL593259,18.0,nM,Cc1cccc(-c2cc(C(=O)NCc3ccccn3)nc(N)n2)c1,7.744727494896693,319.14331016400007,5,2,2.3592199999999997,True
864,CHEMBL468506,18.2,nM,Cn1c(=O)c2[nH]c(-c3ccc(COC(=O)Nc4ccco4)cc3)cc2n(C)c1=O,7.739928612014925,394.12771967599997,7,2,2.5740000000000007,True
866,CHEMBL578008,18.4,nM,CCn1cc2c(nc(NC(=O)Cc3ccc4ccccc4c3)n3nc(-c4ccco4)nc23)n1,7.735182176990463,437.1600228480001,8,1,4.088300000000003,True
867,CHEMBL594662,18.6,nM,Cc1cccnc1CNC(=O)c1nc(N)nc(-c2ccco2)n1,7.730487055782084,310.117823688,7,2,1.3472199999999996,True
868,CHEMBL4282986,18.6,nM,CNc1ncc(C(=O)NCc2ccccc2)c2nc(-c3ccco3)nn12,7.730487055782084,348.13347375200004,7,2,2.356,True
869,CHEMBL573089,18.7,nM,CC(C)CCn1cc2c(nc(NC(=O)Cc3c(Cl)cccc3Cl)n3nc(-c4ccco4)nc23)n1,7.7281583934635005,497.1133782720001,8,1,5.268100000000004,True
870,CHEMBL416354,18.7,nM,Nc1cccc2c1nc(N)c1nn(-c3ccccc3)c(=O)n12,7.7281583934635005,292.107259004,7,2,1.1977999999999998,True
871,CHEMBL447192,19.0,nM,N#Cc1c(-c2ccco2)cc(-c2ccccc2)nc1N,7.721246399047171,261.090211972,4,1,3.462480000000002,True
872,CHEMBL480444,19.0,nM,COC[C@H]1CCCN1c1cc(NC(=O)OC)nc(-n2nc(C)cc2C)n1,7.721246399047171,360.190988628,8,1,2.07264,True
873,CHEMBL259952,19.0,nM,Cc1ccc(-c2nc(N(C)C)nc3ccsc23)nc1,7.721246399047171,270.093917448,5,0,3.127720000000002,True
874,CHEMBL3917889,19.0,nM,CCCC(=O)c1nc(N)c2nc(-n3nccn3)n(C)c2n1,7.721246399047171,286.129057068,9,1,0.5089999999999996,True
875,CHEMBL519554,19.0,nM,CC(=O)Nc1cc(-c2cc(C)ccc2C)nc(-n2nc(C)cc2C)n1,7.721246399047171,335.17461029200007,5,1,3.5213800000000024,True
876,CHEMBL4094491,19.0,nM,COc1ccc(OC(C)(C)C(=O)Nc2nc3c(OC)ccc(N4CCOCC4)c3s2)cc1OC,7.721246399047171,487.17770664799997,9,1,3.954800000000003,True
877,CHEMBL296389,19.0,nM,Cn1c(-c2cccc(F)c2)nc2c(N)nc(C#CC3(O)CCCCCC3)nc21,7.721246399047171,379.180838544,6,2,3.1884000000000015,True
878,CHEMBL2398483,19.0,nM,C[C@H](O)CCc1nc(N)c2nc(-n3nccn3)n(C)c2n1,7.721246399047171,288.144707132,9,2,-0.16040000000000076,True
879,CHEMBL260615,19.0,nM,N#Cc1c(N)nc(-c2ccccc2)nc1-c1ccccc1,7.721246399047171,272.106196384,4,1,3.2644800000000016,True
881,CHEMBL1671933,19.0,nM,Cc1cc(C(=O)Nc2nccs2)ccc1NC(=O)CC(C)(C)C,7.721246399047171,331.135447912,4,2,4.078520000000003,True
882,CHEMBL4566909,19.0,nM,Nc1nc(-c2ccccc2)nc2sc(-c3ccccc3)nc12,7.721246399047171,304.078267384,5,1,4.002500000000002,True
883,CHEMBL1561896,19.0,nM,COc1cccc(COC(=O)c2nn(-c3ccccc3)nc2N)c1,7.721246399047171,324.122240372,7,1,2.2150999999999996,True
884,CHEMBL3703589,19.9,nM,COc1ccccc1CNc1nc(Cl)nc2c1ncn2[C@@H]1SCC(O)[C@@H]1O,7.701146923590294,407.0818881159999,9,3,2.067599999999999,True
885,CHEMBL3763972,20.0,nM,Nc1nc(C(=O)NCc2cccc3c2OCCO3)c2cccc(F)c2n1,7.698970004336019,354.11281856000005,6,2,2.0523,True
886,CHEMBL464859,20.0,nM,CCNC(=O)[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O,7.698970004336019,308.12330299199994,9,4,-1.8361999999999987,True
887,CHEMBL4564192,20.0,nM,Nc1nc(N/N=C/c2ccc(-c3ccccc3)cc2)nc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,7.698970004336019,461.18115221599993,11,5,1.1329999999999993,True
888,CHEMBL201706,20.0,nM,CNC(=O)[C@H]1S[C@@H](n2cnc3c(NC)nc(Cl)nc32)[C@H](O)[C@@H]1O,7.698970004336019,358.06148701999996,9,4,-0.3968000000000003,True
889,CHEMBL1935757,20.0,nM,CCCn1ncc2nc(NC(=O)Nc3ccc(OC)cc3)n3nc(-c4ccco4)nc3c21,7.698970004336019,432.16583650000007,9,2,3.7966000000000015,True
890,CHEMBL276738,20.0,nM,Nc1nc2n[nH]cc2c2nc(-c3ccco3)nn12,7.698970004336019,241.07120784399999,7,2,0.8427999999999995,True
891,CHEMBL4168980,20.0,nM,COc1ccccc1CNc1nc(N)c2nc(-c3ccc(C)o3)sc2n1,7.698970004336019,367.110295784,8,2,3.8576200000000016,True
892,CHEMBL166500,20.0,nM,COc1cccc(-c2n[nH]c(Cc3cccc(F)c3F)n2)c1,7.698970004336019,301.102668476,3,1,3.3493000000000013,True
893,CHEMBL3596589,20.0,nM,CCn1cc(N2CCN(Cc3nc4c5cccc(OC)c5nc(N)n4n3)[C@H](C)C2)cn1,7.698970004336019,421.23385648400017,10,1,1.7953999999999994,True
894,CHEMBL165760,20.0,nM,COc1cccc(-c2nc(Cc3ccc(C)c(C)c3)n[nH]2)c1,7.698970004336019,293.152812228,3,1,3.687940000000002,True
895,CHEMBL353593,20.0,nM,COc1cccc(-c2n[nH]c(Cc3ccccc3Br)n2)c1,7.698970004336019,343.032024168,3,1,3.8336000000000023,True
896,CHEMBL3770601,20.0,nM,CCNC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O,7.698970004336019,294.14403843599996,9,4,-1.362799999999999,True
897,CHEMBL561244,20.0,nM,Nc1nc(C(=O)NCc2ccc(F)cc2)cc(-c2ccco2)n1,7.698970004336019,312.102253876,5,2,2.3879,True
898,CHEMBL260773,20.0,nM,Clc1nc(-c2nccs2)c2sccc2n1,7.698970004336019,252.953516808,5,0,3.4682000000000013,True
899,CHEMBL3932413,20.0,nM,Nc1nc(NCc2cccc(O)c2)nc2sc(-c3ccco3)nc12,7.698970004336019,339.078995656,8,3,3.246200000000001,True
900,CHEMBL480443,20.0,nM,COC[C@H]1CCCN1c1cc(NC(C)=O)nc(-c2nccs2)n1,7.698970004336019,333.125945848,7,1,2.1737,True
901,CHEMBL477,20.0,nM,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,7.698970004336019,267.096753896,9,4,-1.9800000000000006,True
902,CHEMBL102116,20.0,nM,Nc1nc(N/N=C\C2CCCCC2)nc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,7.698970004336019,391.19680227999993,11,5,-0.0020000000000002793,True
903,CHEMBL168424,20.0,nM,COc1ccc(O)c(/C=N/N=C(\S)Cc2ccccc2)c1,7.698970004336019,300.093248752,4,2,3.3057000000000016,True
904,CHEMBL1935743,20.0,nM,Cn1cc2nc(N)n3nc(-c4ccco4)nc3c2c1,7.698970004336019,254.09160894,7,1,1.4582,True
906,CHEMBL235071,20.1,nM,Nc1nc2ccccc2n2c(=O)c(-c3ccc(F)cc3)nn12,7.696803942579511,295.08693816000005,6,1,1.7305,True
907,CHEMBL66393,20.4,nM,OC[C@H]1O[C@@H](n2cnc3c(NCc4cccc(I)c4)ncnc32)[C@H](O)[C@@H]1O,7.690369832574101,483.040352056,9,4,0.6544999999999999,True
908,CHEMBL3754573,20.4,nM,c1ccc(CNc2nc(NCc3ccccc3)n3nc(-c4ccco4)nc3n2)cc1,7.690369832574101,397.165108228,8,2,4.003500000000002,True
909,CHEMBL424827,20.5,nM,Nc1nc(-c2ccco2)c2ncn(Cc3ccc(C(F)(F)F)cc3)c2n1,7.688246138944246,359.09939466400004,6,1,3.7356000000000016,True
910,CHEMBL188897,20.6,nM,Nc1nc(N2CCN(Cc3ccccc3)CC2)nc2nc(-c3ccco3)nn12,7.686132779630847,376.17600726,9,1,1.6836999999999993,True
911,CHEMBL3414937,20.7,nM,CCn1nnc([C@H]2O[C@@H](n3cnc4c(N)nc(Cl)nc43)[C@H](O)[C@@H]2O)n1,7.684029654543082,367.090812988,12,3,-0.9398000000000004,True
912,CHEMBL3741901,20.9,nM,CCn1nnc([C@H]2O[C@@H](n3cnc4c(N)nc(NC(C)Cc5cccc(OC)c5)nc43)[C@H](O)[C@@H]2O)n1,7.679853713888946,496.229499376,14,4,0.4584999999999991,True
913,CHEMBL20555,21.0,nM,CCNc1c2c(nc(NC(=O)Nc3ccc(OC)cc3)n3nc(-c4ccco4)nc23)nn1C,7.67778070526608,447.1767355320001,10,3,3.3554000000000013,True
914,CHEMBL4286593,21.0,nM,CNc1ncc(C(=O)OCc2cccc(C)c2)c2nc(-c3ccco3)nn12,7.67778070526608,363.133139404,8,1,3.091420000000001,True
915,CHEMBL122806,21.0,nM,N#Cc1c(N)nc(SCc2ncc[nH]2)c(C#N)c1-c1cccc(O)c1,7.67778070526608,348.0793300039999,7,3,2.795160000000001,True
916,CHEMBL3694775,21.0,nM,Nc1nc(-n2cccn2)nc(NC2CCC2)c1Br,7.67778070526608,308.038506516,6,2,1.9713999999999998,True
917,CHEMBL4075166,21.0,nM,COc1cnc(N2CCOCC2)c2sc(NC(=O)C(C)(C)Oc3ccccc3F)nc12,7.67778070526608,446.14240443600005,8,1,3.471700000000002,True
918,CHEMBL1927422,21.0,nM,CC(C)(C)OC(=O)N1CCN(c2nc(N)n3nc(-c4ccco4)nc3n2)CC1,7.67778070526608,386.181486564,10,1,1.4185999999999999,True
919,CHEMBL4294479,21.0,nM,CCc1ccc(COC(=O)c2cnc(NC)n3nc(-c4ccco4)nc23)cc1,7.67778070526608,377.148789468,8,1,3.3454000000000015,True
920,CHEMBL259933,21.3,nM,CCCC(=O)Nc1nc(-c2ccccc2)c(C#N)c(-c2ccc3c(c2)OCO3)n1,7.671620396561262,386.13789043599996,6,1,4.149580000000002,True
921,CHEMBL3763434,21.5,nM,Nc1nc(C(=O)NCc2cccc3c2OCCN3)c2cccc(F)c2n1,7.667561540084394,353.128802972,6,3,2.085399999999999,True
922,CHEMBL195330,21.5,nM,Nc1nc(-c2ccco2)c2ncn(Cc3ccc(Cl)cc3)c2n1,7.667561540084394,325.073037684,6,1,3.3702000000000014,True
923,CHEMBL3752432,21.8,nM,Fc1ccc(CNc2nc(NCc3ccccc3)nc3nc(-c4ccco4)nn23)cc1,7.661543506395395,415.15568641600004,8,2,4.142600000000002,True
924,CHEMBL466035,21.9,nM,CCCn1c(=O)c2[nH]c(-c3ccc(COC(=O)Nc4ccon4)cc3)cc2n(CCC)c1=O,7.6595558851598815,451.1855689,8,2,3.7150000000000025,True
925,CHEMBL2398480,22.0,nM,CCCC(O)c1nc(N)c2nc(-n3nccn3)n(C)c2n1,7.657577319177793,288.144707132,9,2,0.3596999999999996,True
926,CHEMBL4073934,22.0,nM,COCCOc1cccc(OC(C)(C)C(=O)Nc2nc3c(OC)ccc(N4CCOCC4)c3s2)c1,7.657577319177793,501.193356712,9,1,3.9628000000000023,True
927,CHEMBL20445,22.0,nM,CSc1c2c(nc(N)n3nc(-c4ccco4)nc23)nn1CCCc1ccccc1,7.657577319177793,405.13717922800004,9,1,3.6709000000000023,True
928,CHEMBL460805,22.0,nM,CC(C)N(C)C(=O)c1cccc(Cn2nnc3c(-c4ccco4)nc(N)nc32)c1,7.657577319177793,391.1756729120001,8,1,2.5922,True
929,CHEMBL195866,22.0,nM,COc1ccccc1Cn1cnc2c(-c3ccco3)nc(N)nc21,7.657577319177793,321.12257472000005,7,1,2.7253999999999996,True
930,CHEMBL1671934,22.0,nM,CC(C)(C)CC(=O)Nc1ccc(C(=O)Nc2nccs2)cc1Cl,7.657577319177793,351.080825496,4,2,4.423500000000003,True
931,CHEMBL3950142,22.0,nM,Nc1nc(NCc2ccccc2)nc2sc(-c3ccco3)nc12,7.657577319177793,323.08408103600004,7,2,3.5406000000000013,True
932,CHEMBL1171897,22.0,nM,CCN(C(C)=O)c1ccc(OC)c2nc(NC(=O)c3ccc(F)cc3)sc12,7.657577319177793,387.105290656,5,1,4.069100000000003,True
933,CHEMBL408703,22.0,nM,Cc1ccc(C(=O)c2nc(C(F)(F)F)nc3ccsc23)o1,7.657577319177793,312.018033124,5,0,3.8425200000000013,True
934,CHEMBL4175878,22.0,nM,COc1cccc(CNc2nc(N)c3nc(-c4cccs4)sc3n2)c1,7.657577319177793,369.0718021,8,2,4.017700000000001,True
935,CHEMBL1258306,22.1,nM,CCC(C)Oc1ccc(CCCn2ncc3c2nc(N)n2nc(-c4ccco4)nc32)cc1,7.655607726314889,431.20697304000004,9,1,4.126300000000002,True
936,CHEMBL4449436,22.4,nM,Cc1ccc(-c2nc(N)c3nc(-c4ccccc4)sc3n2)o1,7.649751981665837,308.073182004,6,1,3.903920000000002,True
937,CHEMBL259736,22.7,nM,N#Cc1c(-c2ccccc2)nc(N)nc1-c1ccccc1,7.643974142806877,272.106196384,4,1,3.2644800000000007,True
938,CHEMBL486478,22.7,nM,CCn1c(=O)[nH]c2nc(-c3ccc(S(=O)(=O)N4CCN(Cc5ccc(C(F)(F)F)cc5)CC4)cc3)[nH]c2c1=O,7.643974142806877,562.1610089400001,7,2,2.6251000000000007,True
940,CHEMBL3596515,22.8,nM,COc1cccc2c1nc(N)n1nc(CN3CCN(c4ncc(C)s4)C[C@H]3C)nc21,7.642065152999546,424.179378388,10,1,2.3439200000000007,True
941,CHEMBL4563432,22.9,nM,Nc1ccc(-c2cn3c(=O)n(-c4ccccc4)nc3c(N)n2)cc1,7.640164517660112,318.122909068,7,2,1.7115999999999998,True
942,CHEMBL575198,23.0,nM,CCn1cc2c(nc(NC(=O)Cc3ccsc3)n3nc(-c4ccco4)nc23)n1,7.638272163982407,393.10079372000007,9,1,2.996600000000001,True
944,CHEMBL405026,23.0,nM,Nc1nc(C(=O)c2cccs2)c2sccc2n1,7.638272163982407,261.003053844,6,1,2.5660000000000007,True
946,CHEMBL113541,23.0,nM,CN(C)C(=O)CN(C)C(=O)c1cc(N)c2nc(-c3ccc(Br)o3)nn2c1,7.638272163982407,420.054550504,7,1,1.4942000000000002,True
947,CHEMBL409152,23.0,nM,CN(C)c1nc(-c2ccco2)c2ncn(C(=O)NCc3ccccc3)c2n1,7.638272163982407,362.14912381600004,7,1,2.9102000000000015,True
948,CHEMBL594907,23.0,nM,Cc1cccnc1CNC(=O)c1cc(-c2cccc(Cl)c2)nc(N)n1,7.638272163982407,353.1043378120001,5,2,3.01262,True
949,CHEMBL4126651,23.0,nM,Nc1nn(-c2ccccc2)nc1C(=O)NCc1ccccc1,7.638272163982407,293.1276601,5,2,1.7795,True
950,CHEMBL260788,23.0,nM,Nc1cccc(Cn2cnc3c(-c4ccco4)nc(N)nc32)c1,7.638272163982407,306.122909068,7,2,2.2990000000000004,True
951,CHEMBL81616,23.0,nM,CC(=O)NCCNc1[nH]c(-c2ccccc2)nc2nc(C)c(C)c1-2,7.638272163982407,323.174610292,4,3,2.741340000000001,True
952,CHEMBL562421,23.0,nM,Nc1nc(NC(=O)c2ccccc2F)c([N+](=O)[O-])c(-c2ccco2)n1,7.638272163982407,343.07168201999997,7,2,2.6184000000000003,True
953,CHEMBL491317,23.0,nM,CNc1ncc2c(n1)n(-c1cccc(OC)c1)c(=O)n2Cc1c(F)cccc1F,7.638272163982407,397.13503122400004,7,1,2.9590000000000014,True
954,CHEMBL455849,23.0,nM,COC[C@H]1C[C@@H](OC)CN1c1cc(NC(C)=O)nc(-n2nc(C)cc2C)n1,7.638272163982407,374.20663869200007,8,1,1.4776399999999994,True
955,CHEMBL426530,23.0,nM,COc1ccc(-c2cccc(-c3nc(N)nc(SC)n3)c2)cn1,7.638272163982407,325.09973110000004,7,1,2.9133000000000004,True
956,CHEMBL3754417,23.6,nM,O=C(Cc1ccccc1)Nc1nc(NC2CCCCC2)nc2nc(-c3ccco3)nn12,7.627087997029893,417.1913229760001,8,2,3.7051000000000025,True
957,CHEMBL1258526,23.9,nM,Nc1nc2c(cnn2CCCc2ccc(OCCO)cc2)c2nc(-c3ccco3)nn12,7.621602099051862,419.17058753200007,10,2,2.3201,True
958,CHEMBL4061249,24.0,nM,COc1cnc(N2CCOCC2)c2sc(NC(=O)C(C)(C)Oc3cccc(C(F)(F)F)c3)nc12,7.619788758288394,496.13921087600005,8,1,4.3514000000000035,True
959,CHEMBL594137,24.0,nM,COc1cccc(-c2cc(C(=O)NCc3ncccc3C)nc(N)n2)c1,7.619788758288394,349.1538748480001,6,2,2.36782,True
960,CHEMBL166684,24.0,nM,CCCCn1cc2c(nc(NC(=O)Nc3ccc(C)cc3)n3nc(-c4ccco4)nc23)n1,7.619788758288394,430.1865719440001,8,2,4.486520000000002,True
963,CHEMBL270136,24.0,nM,CN1CCN(CC(=O)Nc2cc(-c3ccccn3)nc(-c3cccs3)n2)CC1,7.619788758288394,394.15758032400004,7,1,2.4530000000000003,True
964,CHEMBL3098224,24.0,nM,COC[C@H]1CCCN1c1cc(NCC(F)(F)F)nc(-n2nc(C)cc2C)n1,7.619788758288394,384.1885440160001,7,1,2.868540000000001,True
966,CHEMBL475146,24.0,nM,COc1cccc(-n2c(=O)n(Cc3ccccc3OC)c3cnc(NC4CC4)nc32)c1,7.619788758288394,417.18008959600013,8,1,3.2220000000000013,True
967,CHEMBL3763571,24.0,nM,N#Cc1cccc2c(C(=O)NCc3cccc4cccnc34)nc(N)nc12,7.619788758288394,354.12290906800007,6,2,2.5618799999999995,True
968,CHEMBL4440752,24.0,nM,N#Cc1c(N)nc(SCc2cccnc2)c(C#N)c1-c1ccco1,7.619788758288394,333.068430972,7,1,3.3544600000000013,True
969,CHEMBL594906,24.0,nM,Cc1cccnc1CNC(=O)c1cc(-c2ccccc2Cl)nc(N)n1,7.619788758288394,353.1043378120001,5,2,3.012620000000001,True
970,CHEMBL4283359,24.3,nM,CNc1ncc(C(=O)OCc2ccccc2Br)c2nc(-c3ccco3)nn12,7.614393726401688,427.0280014080001,8,1,3.5455000000000023,True
973,CHEMBL1650387,24.6,nM,CC(=O)Nc1cc(-c2cccs2)nc(-c2cccs2)n1,7.609064892896621,301.0343539720001,5,1,3.892000000000002,True
974,CHEMBL3596514,24.6,nM,COc1cccc2c1nc(N)n1nc(CN3CCN(c4cnn(C)c4)C[C@H]3C)nc21,7.609064892896621,407.21820642000006,10,1,1.3124999999999993,True
976,CHEMBL3703590,24.8,nM,OC1CS[C@@H](n2cnc3c(NCc4cccc5ccccc45)nc(Cl)nc32)[C@H]1O,7.605548319173783,427.086973496,8,3,3.2122000000000015,True
977,CHEMBL404985,25.0,nM,CCNc1nc(C(=O)c2cccs2)c2sccc2n1,7.602059991327962,289.0343539720001,6,1,3.4156000000000013,True
978,CHEMBL264433,25.0,nM,O=C(c1cccs1)c1nc(NCc2ccccc2)nc2ccsc12,7.602059991327962,351.050004036,6,1,4.595900000000002,True
979,CHEMBL595364,25.0,nM,CCc1c(C(=O)NCc2ccccn2)nc(N)nc1-c1ccc(C)o1,7.602059991327962,337.153874848,6,2,2.5146200000000007,True
980,CHEMBL607539,25.0,nM,Nc1nc(C(=O)NCc2ccccn2)nc(-c2ccco2)n1,7.602059991327962,296.102173624,7,2,1.0387999999999997,True
981,CHEMBL482328,25.0,nM,COCCOc1ccc(N2CCN(CCN(C)c3cc4nc(-c5ccccc5)nn4c(N)n3)CC2)cc1,7.602059991327962,502.2804723280001,10,1,2.6571000000000007,True
984,CHEMBL446616,25.0,nM,OC[C@H]1O[C@@H](n2cnc3c(NCc4cccc5ccccc45)nc(NC4CCCC4)nc32)[C@H](O)[C@@H]1O,7.602059991327962,490.23285344,10,5,2.557600000000001,True
985,CHEMBL88147,25.0,nM,O=C(Cc1ccccc1)Nc1nc2ccc(Cl)cc2c2nc(-c3ccco3)nn12,7.602059991327962,403.0836023680001,6,1,4.372100000000003,True
988,CHEMBL1222306,25.0,nM,Cc1nc(-c2sc(NC(=O)Cc3ccccc3)nc2-c2ccccc2)no1,7.602059991327962,376.09939675199996,6,1,4.349720000000003,True
991,CHEMBL3764397,25.0,nM,Nc1nc(C(=O)NCc2cccc3[nH]cnc23)c2cccc(F)c2n1,7.602059991327962,336.11348725600004,5,3,2.1574,True
992,CHEMBL1270610,25.0,nM,CCN(C)C(=O)c1cnc2c(c1)nc(NC(=O)c1cccc(C#N)c1)n2CCCOC,7.602059991327962,420.190988628,7,1,2.6836800000000007,True
993,CHEMBL4061522,25.0,nM,CCC1(O)CCC(C)(C(=O)Nc2nc3c(OC)ccc(N4CCOCC4)c3s2)CC1,7.602059991327962,433.20352747199996,7,2,3.8014000000000028,True
994,CHEMBL409711,25.5,nM,Cc1cc(C)n(-c2cc(NC(=O)CN3CCN(C)CC3)nc(-c3ccccn3)n2)n1,7.5934598195660445,406.22295745200006,8,1,1.5270399999999995,True
995,CHEMBL515344,25.8,nM,CC(=O)Nc1cc(N2CCC[C@H]2CO)nc(-n2nc(C)cc2C)n1,7.58838029403677,330.18042394400004,7,2,1.1986399999999995,True
996,CHEMBL3314873,25.8,nM,CNC(=O)c1cnc(NCc2ccc(OC)c(OC)c2)n2nc(-c3ccco3)nc12,7.58838029403677,408.15460312000005,9,2,2.3732000000000006,True
997,CHEMBL259953,26.0,nM,CN(C)c1nc(-c2ccccn2)c2sccc2n1,7.585026652029182,256.078267384,5,0,2.819300000000001,True
998,CHEMBL456051,26.0,nM,CCCC1CCN(c2cc(NC(C)=O)nc(-n3nc(C)cc3C)n2)C1,7.585026652029182,342.216809452,6,1,2.8639400000000013,True
999,CHEMBL256359,26.0,nM,Nc1nc(-c2ccco2)c2cnn(Cc3ccccc3[N+](=O)[O-])c2n1,7.585026652029182,336.09708824399996,8,1,2.625000000000001,True
1000,CHEMBL1172442,26.0,nM,CCN(C(C)=O)c1ccc(OC)c2nc(NC(=O)c3ccc(C(=O)N(C)CCOC)cc3)sc12,7.585026652029182,484.17804099599994,7,1,3.6484000000000023,True
1001,CHEMBL513320,26.0,nM,N#Cc1c(-c2ccc3c(c2)OCO3)cc(-c2ccco2)nc1N,7.585026652029182,305.0800412120001,6,1,3.191180000000001,True
1002,CHEMBL372928,26.0,nM,Nc1nc(-c2ccco2)c2ncn(Cc3c(F)cc(F)cc3F)c2n1,7.585026652029182,345.08374460000005,6,1,3.134100000000001,True
1003,CHEMBL4439750,26.0,nM,NC(=O)COc1ccc(-c2cn3c(=O)n(-c4ccccc4)nc3c(N)n2)cc1,7.585026652029182,376.1283883720001,8,2,0.9934999999999992,True
1004,CHEMBL410679,26.0,nM,C[C@@H](NC(=O)n1cnc2c(-c3ccco3)nc(N)nc21)c1ccccc1,7.585026652029182,348.133473752,7,2,2.987400000000001,True
1006,CHEMBL3596510,26.5,nM,COc1cccc2c1nc(N)n1nc(CN3CCN(c4ncccn4)C[C@H]3C)nc21,7.576754126063192,405.20255635600006,10,1,1.3689999999999996,True
1007,CHEMBL3764081,26.7,nM,Nc1nc(C(=O)NCc2cncc3ccccc23)c2cccc(F)c2n1,7.573488738635425,347.11823828800004,5,2,2.829300000000001,True
1008,CHEMBL114185,27.0,nM,CC1CCCN1C(=O)c1cc(N)c2nc(-c3ccc(Br)o3)nn2c1,7.568636235841012,389.048736852,6,1,2.958500000000001,True
1009,CHEMBL113376,27.0,nM,Nc1cc(C(=O)N2CCCCC2)cn2nc(-c3ccc(Br)o3)nc12,7.568636235841012,389.048736852,6,1,2.9601000000000015,True
1010,CHEMBL109845,27.0,nM,Nc1cc(C(=O)N2CCCCC2)cc2nc(-c3ccco3)nn12,7.568636235841012,311.13822478400004,6,1,2.1976000000000004,True
1011,CHEMBL456068,27.0,nM,COC[C@@H]1CCCN1c1cc(NC(C)=O)nc(-c2cccs2)n1,7.568636235841012,332.13069688,6,1,2.7787000000000015,True
1013,CHEMBL3739795,27.0,nM,CCCn1c(Br)nc2c(N)nc(NCCc3ccccc3)nc21,7.568636235841012,374.08545670800004,6,2,3.2356000000000016,True
1014,CHEMBL1172276,27.0,nM,CCN(C(C)=O)c1ccc(OC)c2nc(NC(=O)c3ccc(CN4CCCC4=O)cc3)sc12,7.568636235841012,466.167476312,6,1,4.052400000000003,True
1015,CHEMBL270761,27.0,nM,Cc1cc(C)n(-c2nc(NC(=O)CN3CCN(C)CC3)cc(-c3nccs3)n2)n1,7.568636235841012,412.17937838800003,9,1,1.5885399999999996,True
1017,CHEMBL259319,27.2,nM,N#Cc1c(-c2ccccc2)nc(NC(=O)C2CCCC2)nc1-c1ccc2c(c1)OCO2,7.565431095965801,412.15354049999996,6,1,4.539680000000003,True
1019,CHEMBL1927432,27.3,nM,Nc1nc(N2CCN(Cc3ccc(Br)cc3)CC2)nc2nc(-c3ccco3)nn12,7.5638373529592435,454.0865193280001,9,1,2.4462,True
1020,CHEMBL3787197,28.0,nM,CC1=C(C(=O)OC(C)C)C(c2ccco2)n2c(nc3ccccc32)N1,7.552841968657781,337.1426414680001,6,1,3.8698000000000023,True
1021,CHEMBL456073,28.0,nM,CC(=O)Nc1cc(N2CCCC2C)nc(-n2nc(C)cc2C)n1,7.552841968657781,314.185509324,6,1,2.2262399999999998,True
1022,CHEMBL507754,28.0,nM,CCCn1c(=O)c2[nH]c(-c3ccc(S(C)(=O)=O)cc3)c(O)c2n(CCC)c1=O,7.552841968657781,405.135841836,7,2,2.0873999999999997,True
1023,CHEMBL4125975,28.0,nM,Nc1nc(NCc2cccs2)nc2sc(-c3ccccc3)nc12,7.552841968657781,339.06123741600004,7,2,4.009100000000002,True
1024,CHEMBL259416,28.0,nM,Nc1nc(-c2ccco2)c2cnn(Cc3cccnc3)c2n1,7.552841968657781,292.107259004,7,1,2.1117999999999997,True
1025,CHEMBL505977,28.0,nM,Nc1nc(-c2ccco2)c2nnn(Cc3ccc([N+](=O)[O-])cc3)c2n1,7.552841968657781,337.092337212,9,1,2.0199999999999996,True
1026,CHEMBL1671923,28.0,nM,CC(C)(C)CC(=O)Nc1ccc(C(=O)Nc2ncc(Cl)s2)cc1,7.552841968657781,351.08082549600005,4,2,4.423500000000002,True
1027,CHEMBL1222303,28.0,nM,Cc1nc(-c2sc(NC(=O)C3CC3)nc2-c2ccccc2)no1,7.552841968657781,326.08374668799996,6,1,3.5170200000000014,True
1028,CHEMBL122622,28.0,nM,N#Cc1c(N)nc(SCc2ncc[nH]2)c(C#N)c1-c1ccc(O)cc1,7.552841968657781,348.0793300039999,7,3,2.79516,True
1029,CHEMBL611337,28.0,nM,Cc1ccccc1-c1cc(C(=O)NCc2ncccc2C)nc(N)n1,7.552841968657781,333.15896022800007,5,2,2.6676399999999996,True
